scenario,replication,t_end,h,model,RMSE,MAE,ISE
regime_change,48,121,1,VAR1,0.31345834640178627,0.2512686426127484,0.09825613492894224
regime_change,48,121,1,ARHinc,0.3101365415832017,0.24940484773794047,0.096184674425189
regime_change,48,121,1,KernelARH,0.3200145339418406,0.2557269656442492,0.10240930193401346
regime_change,48,121,5,PM,0.2960960750513852,0.2429146538182478,0.08767288566083553
regime_change,48,121,5,PA,0.21361023199060783,0.1755394771554794,0.0456293312110813
regime_change,48,121,5,VAR1,0.19466242173083526,0.15460456757742777,0.03789345843411356
regime_change,48,121,5,ARHinc,0.19557914269763685,0.1560680383438915,0.0382512010583426
regime_change,48,121,5,KernelARH,0.19480495886647853,0.1547259965095008,0.03794897199897039
regime_change,48,121,10,PM,0.3148392403687303,0.23548656544035765,0.09912374727595911
regime_change,48,121,10,PA,0.3759336592230753,0.2970099404056027,0.1413261161368513
regime_change,48,121,10,VAR1,0.35573842909155845,0.27506410201408016,0.12654982993252975
regime_change,48,121,10,ARHinc,0.3553736238013988,0.2762549304073719,0.12629041249373812
regime_change,48,121,10,KernelARH,0.35612901841937616,0.27538011552864716,0.12682787776034837
regime_change,48,122,1,PM,0.32779385690653673,0.2654611924923419,0.10744881262566307
regime_change,48,122,1,PA,0.45122772492180047,0.3644890773046234,0.20360645973810404
regime_change,48,122,1,VAR1,0.478695572165375,0.38897266256059426,0.22914945081073576
regime_change,48,122,1,ARHinc,0.4809106736592877,0.39128003813906304,0.23127507603942993
regime_change,48,122,1,KernelARH,0.47718593491018674,0.38777703118319373,0.22770641647610898
regime_change,48,122,5,PM,0.24197092488309263,0.1846524480979166,0.05854992848877926
regime_change,48,122,5,PA,0.262513372291043,0.2125069904613089,0.06891327063161574
regime_change,48,122,5,VAR1,0.2788826848793205,0.22468215663272328,0.07777555192549837
regime_change,48,122,5,ARHinc,0.2721459017847156,0.22130886356911567,0.07406339185821606
regime_change,48,122,5,KernelARH,0.27950104716198465,0.2250490109066644,0.07812083536464597
regime_change,48,122,10,PM,0.3393206910166866,0.23478576299999518,0.1151385313520417
regime_change,48,122,10,PA,0.37496617738513477,0.2552903062586628,0.14059963418282037
regime_change,48,122,10,VAR1,0.38557599106855295,0.26608809224883295,0.14866884488849683
regime_change,48,122,10,ARHinc,0.3815502049569685,0.2663762250933264,0.1455805589027047
regime_change,48,122,10,KernelARH,0.3859192616459178,0.26620683208788093,0.14893367650933034
regime_change,48,123,1,PM,0.4403940785806361,0.3545518662225222,0.19394694444888752
regime_change,48,123,1,PA,0.23480688686369008,0.17570406735541272,0.05513427411861776
regime_change,48,123,1,VAR1,0.22860569381627244,0.16816839413292042,0.0522605632452193
regime_change,48,123,1,ARHinc,0.22786625523718532,0.16994812634519427,0.051923030275818086
regime_change,48,123,1,KernelARH,0.2289770397344194,0.16834850042453117,0.05243048472553788
regime_change,48,123,5,PM,0.573294829831236,0.45507815057827583,0.3286669619112259
regime_change,48,123,5,PA,0.3263725819823714,0.2378853399113766,0.10651906226983975
regime_change,48,123,5,VAR1,0.3260898753027821,0.2375495267401854,0.10633460677498399
regime_change,48,123,5,ARHinc,0.3251533867305896,0.23567876600521556,0.10572472490237236
regime_change,48,123,5,KernelARH,0.3262524715108417,0.23769177802401087,0.10644067516693258
regime_change,48,123,10,PM,0.31754800402251465,0.25776033087540506,0.100836734858683
regime_change,48,123,10,PA,0.3338111902473973,0.26054365850700867,0.11142991073438407
regime_change,48,123,10,VAR1,0.32605297315510623,0.25492104792636366,0.10631054130328443
regime_change,48,123,10,ARHinc,0.3252118324605824,0.2524698154911261,0.10576273597236992
regime_change,48,123,10,KernelARH,0.3264778079400803,0.2553056136682553,0.10658775907735994
regime_change,48,124,1,PM,0.3630114061260905,0.29776954155847657,0.13177728097764144
regime_change,48,124,1,PA,0.2630937999010985,0.2204671506866906,0.06921834754639926
regime_change,48,124,1,VAR1,0.24874827857742848,0.20759710986864235,0.06187570609523397
regime_change,48,124,1,ARHinc,0.2503264327367175,0.20917853697337477,0.06266332292669036
regime_change,48,124,1,KernelARH,0.24729581395784253,0.20635365868910224,0.06115521960107186
regime_change,48,124,5,PM,0.3218832596173986,0.2600301691016843,0.10360883282192164
regime_change,48,124,5,PA,0.30360233449479873,0.2348792370640835,0.09217437751069166
regime_change,48,124,5,VAR1,0.31527726763515895,0.24828501451717097,0.09939975548749166
regime_change,48,124,5,ARHinc,0.308955296294947,0.24170322947175582,0.09545337510869849
regime_change,48,124,5,KernelARH,0.3159236795989192,0.2488648171405414,0.09980777133132057
regime_change,48,124,10,PM,0.3326060030670138,0.2701178920023475,0.11062675327621442
regime_change,48,124,10,PA,0.3165322498670605,0.26624448377561666,0.10019266520590323
regime_change,48,124,10,VAR1,0.3309838165357132,0.27813593802091496,0.10955028680854664
regime_change,48,124,10,ARHinc,0.3243332950835134,0.2723964596282839,0.10519208629972937
regime_change,48,124,10,KernelARH,0.3315594726317546,0.27868588214931084,0.10993168389184722
regime_change,48,125,1,PM,0.3108477012614981,0.24957145214164952,0.09662629337955754
regime_change,48,125,1,PA,0.18871093392349328,0.15084958174204555,0.035611816582277044
regime_change,48,125,1,VAR1,0.18855140303138915,0.1496055163717924,0.035551631585105346
regime_change,48,125,1,ARHinc,0.18748983504041736,0.14865712365311595,0.03515243824348291
regime_change,48,125,1,KernelARH,0.189578706648674,0.15074764040459665,0.03594008601458398
regime_change,48,125,5,PM,0.481180577061441,0.3724852736392511,0.23153474774118135
regime_change,48,125,5,PA,0.357113188839393,0.2735745916522489,0.12752982964304
regime_change,48,125,5,VAR1,0.3553047262257334,0.277593521169859,0.12624144847834337
regime_change,48,125,5,ARHinc,0.35406773317268336,0.2729466534463102,0.1253639596740425
regime_change,48,125,5,KernelARH,0.35559208561170436,0.27786925273811985,0.12644573134968168
