scenario,replication,h,model,RMSE,MAE,ISE
strong_persistence,259,5,ARHinc,0.21586992951808598,0.17603705439067646,0.051497780674120995
strong_persistence,259,5,KernelARH,0.2220960036582901,0.1813085275849117,0.05436230214128211
strong_persistence,259,5,PA,0.21653272424759787,0.1764958510475682,0.05200863530495986
strong_persistence,259,5,PM,0.15026353648967808,0.11000346927592086,0.024368211387692636
strong_persistence,259,5,VAR1,0.22185240892717534,0.18109286327452076,0.054249732017283024
strong_persistence,259,10,ARHinc,0.2272409174415262,0.18481518687841966,0.057403534509102405
strong_persistence,259,10,KernelARH,0.23100332222407188,0.18842863828688297,0.059208662546201406
strong_persistence,259,10,PA,0.2279053130104055,0.18544842406114037,0.05783968236184329
strong_persistence,259,10,PM,0.18144996302686436,0.1304378118135888,0.035815600462123495
strong_persistence,259,10,VAR1,0.23084466170992807,0.18827598665222534,0.05912156616547831
strong_persistence,260,1,ARHinc,0.17263228017596075,0.13858457259759746,0.03251802701777648
strong_persistence,260,1,KernelARH,0.17648989056052253,0.1420801847218297,0.03380125902558839
strong_persistence,260,1,PA,0.1740648017776055,0.1398184262890567,0.0330674088752086
strong_persistence,260,1,PM,0.10342560873427481,0.08106646794488435,0.01094460352899801
strong_persistence,260,1,VAR1,0.17787685735945608,0.14296320882888014,0.03435671987905093
strong_persistence,260,5,ARHinc,0.17910428774869888,0.14387929601230387,0.03503746231527339
strong_persistence,260,5,KernelARH,0.18364472101133658,0.14753582233905152,0.0367238179202039
strong_persistence,260,5,PA,0.18058134097222314,0.1448686355167299,0.03561807042772099
strong_persistence,260,5,PM,0.14156396740938437,0.1097140106370728,0.021804866012585924
strong_persistence,260,5,VAR1,0.18361252512642862,0.14751680254727664,0.036706737641163605
strong_persistence,260,10,ARHinc,0.1846246633348836,0.14834547059406664,0.036975754652389836
strong_persistence,260,10,KernelARH,0.18784849869197087,0.15092269925590363,0.038737832059290635
strong_persistence,260,10,PA,0.1860365825170105,0.14947604561453176,0.03750942673843932
strong_persistence,260,10,PM,0.16711407098895845,0.1305047588301084,0.032075538555282
strong_persistence,260,10,VAR1,0.18779723931372302,0.1508787699794635,0.038711634844650754
strong_persistence,261,1,ARHinc,0.15867773316042488,0.12626929366921874,0.026875929098032734
strong_persistence,261,1,KernelARH,0.1621978599456288,0.1291896887150365,0.028178854613067232
strong_persistence,261,1,PA,0.1594363015039953,0.12705018806085328,0.027077050511339244
strong_persistence,261,1,PM,0.10511274829179484,0.0812051294245194,0.011375097302022207
strong_persistence,261,1,VAR1,0.16195410527306905,0.12902347028079503,0.0280626819143689
strong_persistence,261,5,ARHinc,0.1650371395868743,0.13140519557033484,0.029443435048297543
strong_persistence,261,5,KernelARH,0.16703772180886467,0.13322209538593047,0.030047385792742697
strong_persistence,261,5,PA,0.16577003408997298,0.1321377424602221,0.029688672942046707
strong_persistence,261,5,PM,0.1442427711101281,0.10931294614421697,0.022326401954336838
strong_persistence,261,5,VAR1,0.16683430603719768,0.13305913194970576,0.029976651824497304
strong_persistence,261,10,ARHinc,0.1690787185046459,0.13457442655123428,0.03090597392609473
strong_persistence,261,10,KernelARH,0.17131885023553492,0.13635123112217046,0.03154137851617118
strong_persistence,261,10,PA,0.16971060031398966,0.13515870683398065,0.03116863396720697
strong_persistence,261,10,PM,0.163271593635197,0.12520046614503696,0.02899017693948029
strong_persistence,261,10,VAR1,0.17109743474658026,0.13617288443411227,0.03146385452534835
strong_persistence,262,1,ARHinc,0.22249296444990324,0.1826694256538601,0.05993179511509181
