moneda,fecha,PC,score,score_z
usdzar,2025-05-19,PC1,-4.570193688419432,-0.5232517496666054
usdzar,2025-05-20,PC1,-3.3054424420741073,-0.37844753617777105
usdzar,2025-05-21,PC1,-4.1881917457390445,-0.4795154884683009
usdzar,2025-05-22,PC1,-4.233187602168689,-0.4846671652263819
usdzar,2025-05-23,PC1,-3.834881399687727,-0.43906419266980673
usdzar,2025-05-26,PC1,-3.982700938273282,-0.455988383956446
usdzar,2025-05-27,PC1,-7.3841447160234335,-0.8454273288769376
usdzar,2025-05-28,PC1,-6.966892214071457,-0.7976551519006381
usdzar,2025-05-29,PC1,-8.76367417795989,-1.003372758302386
usdzar,2025-05-30,PC1,-5.534427514629002,-0.6336490481291073
usdzar,2025-06-02,PC1,-7.574176106200122,-0.867184449948959
usdzar,2025-06-03,PC1,-8.15677107558726,-0.9338870577292891
usdzar,2025-06-04,PC1,-4.233646154060312,-0.48471966586332704
usdzar,2025-06-05,PC1,-3.538237050901957,-0.4051007142894087
usdzar,2025-06-06,PC1,-4.823518328531553,-0.552255457213664
usdzar,2025-06-09,PC1,-9.975992662495205,-1.1421738270171902
usdzar,2025-06-10,PC1,-10.459721160507861,-1.197556990227557
usdzar,2025-06-11,PC1,-10.604251580154871,-1.2141046028926346
usdzar,2025-06-12,PC1,0.20806937469068798,0.023822330470328584
usdzar,2025-06-13,PC1,2.602812545951102,0.2980018597842219
usdzar,2025-06-16,PC1,-4.904679879990978,-0.5615478257000175
usdzar,2025-06-17,PC1,-3.871110550874356,-0.443212149636133
usdzar,2025-06-18,PC1,-0.5524687341140861,-0.06325338737695112
usdzar,2025-06-19,PC1,1.3272934996429775,0.1519648166704919
usdzar,2025-06-20,PC1,-3.2129513309707165,-0.3678580209377299
usdzar,2025-06-23,PC1,-5.604747289542362,-0.6417001172452399
usdzar,2025-06-24,PC1,-6.225963335411998,-0.7128245388963218
usdzar,2025-06-25,PC1,-4.103892473493965,-0.4698638752752692
usdzar,2025-06-26,PC1,2.026450532173924,0.2320128771040204
usdzar,2025-06-27,PC1,3.0275808713225043,0.34663454028017865
usdzar,2025-06-30,PC1,-1.3788603426838881,-0.15786882045797118
usdzar,2025-07-01,PC1,0.5786949509255522,0.06625608589900843
usdzar,2025-07-02,PC1,2.4067305422935177,0.27555199037235284
usdzar,2025-07-03,PC1,-1.3640286420436343,-0.15617070570843458
usdzar,2025-07-04,PC1,-1.6561765648423346,-0.1896193781691311
usdzar,2025-07-07,PC1,1.1640416638575273,0.13327374698399802
usdzar,2025-07-08,PC1,-1.2492749338041067,-0.1430322956736008
usdzar,2025-07-09,PC1,-0.17206057648352058,-0.019699602211998315
usdzar,2025-07-10,PC1,-2.4411068241095863,-0.27948780815899765
usdzar,2025-07-11,PC1,4.935547520716659,0.5650819312804258
usdzar,2025-07-14,PC1,-0.7565226051549002,-0.0866159738071284
usdzar,2025-07-15,PC1,-5.662993014789491,-0.6483688012713431
usdzar,2025-07-16,PC1,-6.13028787593241,-0.7018704404519374
usdzar,2025-07-17,PC1,-7.164187089632596,-0.8202438857434096
usdzar,2025-07-18,PC1,-7.014742267365104,-0.8031336120742156
usdzar,2025-07-21,PC1,-8.160802444588445,-0.9343486182291793
usdzar,2025-07-22,PC1,-8.792049752351614,-1.006621541605791
usdzar,2025-07-23,PC1,-9.208527207475495,-1.0543049817283545
usdzar,2025-07-24,PC1,-3.352494257240831,-0.3838346042736732
usdzar,2025-07-25,PC1,1.9711479063952844,0.22568115515246384
usdzar,2025-07-28,PC1,0.6634926222380861,0.0759647619217269
