pair_id,Par,h,Modelo,TRAIN_SIZE,K0,N,RMSE_med,MAE_med,WRMSE_short_med,WRMSE_long_med
eurusd,EURUSD,1,KernelARH,110,8,179,0.4426,0.3595,0.4555,0.4457
eurusd,EURUSD,1,PA,110,8,179,0.4205,0.3428,0.4066,0.4424
eurusd,EURUSD,1,PM,110,8,179,0.1588,0.1122,0.2416,0.0977
eurusd,EURUSD,1,VAR1,110,8,179,64.9212,45.7371,94.1275,40.815
eurusd,EURUSD,5,ARHinc,110,8,179,0.547,0.4425,0.6128,0.4897
eurusd,EURUSD,5,KernelARH,110,8,179,0.596,0.4886,0.7209,0.5454
eurusd,EURUSD,5,PA,110,8,179,0.5367,0.4317,0.6173,0.4917
eurusd,EURUSD,5,PM,110,8,179,0.3741,0.2646,0.5603,0.2259
eurusd,EURUSD,5,VAR1,110,8,179,68.9032,44.7854,89.4381,44.0792
eurusd,EURUSD,10,ARHinc,110,6,179,0.6033,0.4882,0.7275,0.5338
eurusd,EURUSD,10,KernelARH,110,6,179,0.7082,0.5863,0.8701,0.6145
eurusd,EURUSD,10,PA,110,6,179,0.5982,0.4867,0.7146,0.5421
eurusd,EURUSD,10,PM,110,6,179,0.4908,0.34,0.671,0.3028
eurusd,EURUSD,10,VAR1,110,6,179,32.3921,23.3962,48.2429,20.1896
usdzar,USDZAR,1,ARHinc,66,5,223,0.6088,0.4959,0.6011,0.6312
usdzar,USDZAR,1,KernelARH,66,5,223,0.6193,0.5023,0.6146,0.6385
usdzar,USDZAR,1,PA,66,5,223,0.6052,0.4943,0.6,0.6302
usdzar,USDZAR,1,PM,66,5,223,0.175,0.1177,0.2738,0.1016
usdzar,USDZAR,1,VAR1,66,5,223,14.2564,11.0475,18.2039,10.3502
usdzar,USDZAR,5,ARHinc,66,4,223,0.7071,0.57,0.7903,0.6761
usdzar,USDZAR,5,KernelARH,66,4,223,0.7253,0.5893,0.833,0.691
usdzar,USDZAR,5,PA,66,4,223,0.7153,0.5793,0.7932,0.6767
usdzar,USDZAR,5,PM,66,4,223,0.4172,0.2977,0.6215,0.2494
usdzar,USDZAR,5,VAR1,66,4,223,20.6145,15.1438,26.2713,13.0525
usdzar,USDZAR,10,ARHinc,66,3,223,0.7759,0.6293,0.9436,0.7234
usdzar,USDZAR,10,KernelARH,66,3,223,0.8464,0.6719,0.9924,0.7838
usdzar,USDZAR,10,PA,66,3,223,0.7836,0.6333,0.9439,0.7173
usdzar,USDZAR,10,PM,66,3,223,0.5551,0.4163,0.8012,0.3581
usdzar,USDZAR,10,VAR1,66,3,223,9.2332,8.4546,10.7826,6.9795
