h,Modelo,K0,N,RMSE_med,Par,basis_id,K_DELTA,K_TENOR
1,KernelARH,8,245,0.9869018220808143,USDPEN,coarse_4x6,4,6
1,VAR1,9,245,1.054152458167986,USDPEN,coarse_4x6,4,6
1,ARHinc,9,245,0.9729443261628596,USDPEN,coarse_4x6,4,6
1,KernelARH,9,0,NA,USDPEN,coarse_4x6,4,6
1,VAR1,10,245,1.0608691392021214,USDPEN,coarse_4x6,4,6
1,ARHinc,10,245,0.9722268281651012,USDPEN,coarse_4x6,4,6
1,KernelARH,10,0,NA,USDPEN,coarse_4x6,4,6
1,VAR1,11,245,1.0611617620357559,USDPEN,coarse_4x6,4,6
1,ARHinc,11,245,0.969078163628301,USDPEN,coarse_4x6,4,6
1,KernelARH,11,0,NA,USDPEN,coarse_4x6,4,6
1,VAR1,12,245,1.062443654458969,USDPEN,coarse_4x6,4,6
1,ARHinc,12,245,0.9726355679219102,USDPEN,coarse_4x6,4,6
1,KernelARH,12,0,NA,USDPEN,coarse_4x6,4,6
1,VAR1,13,245,1.0625036007273334,USDPEN,coarse_4x6,4,6
1,ARHinc,13,245,0.9723162471936607,USDPEN,coarse_4x6,4,6
1,KernelARH,13,0,NA,USDPEN,coarse_4x6,4,6
1,VAR1,14,245,1.0630166248102246,USDPEN,coarse_4x6,4,6
1,ARHinc,14,245,0.9713691550046847,USDPEN,coarse_4x6,4,6
1,KernelARH,14,0,NA,USDPEN,coarse_4x6,4,6
1,VAR1,15,245,1.0642126644635812,USDPEN,coarse_4x6,4,6
1,ARHinc,15,245,0.9701287621393355,USDPEN,coarse_4x6,4,6
1,KernelARH,15,0,NA,USDPEN,coarse_4x6,4,6
5,VAR1,2,245,1.0481577972620433,USDPEN,coarse_4x6,4,6
5,ARHinc,2,245,1.0071882782072095,USDPEN,coarse_4x6,4,6
5,KernelARH,2,245,1.019247975140363,USDPEN,coarse_4x6,4,6
5,VAR1,3,245,1.0639384995119257,USDPEN,coarse_4x6,4,6
5,ARHinc,3,245,0.9977670378700049,USDPEN,coarse_4x6,4,6
5,KernelARH,3,245,1.007259509335873,USDPEN,coarse_4x6,4,6
5,VAR1,4,245,1.092268303479033,USDPEN,coarse_4x6,4,6
5,ARHinc,4,245,0.9973103201237619,USDPEN,coarse_4x6,4,6
5,KernelARH,4,245,1.0259296496598937,USDPEN,coarse_4x6,4,6
5,VAR1,5,245,1.1384182913593506,USDPEN,coarse_4x6,4,6
5,ARHinc,5,245,1.0029944414246064,USDPEN,coarse_4x6,4,6
5,KernelARH,5,245,1.029401731106724,USDPEN,coarse_4x6,4,6
5,VAR1,6,245,1.1398091042449334,USDPEN,coarse_4x6,4,6
5,ARHinc,6,245,1.0043275273061378,USDPEN,coarse_4x6,4,6
5,KernelARH,6,245,1.0326638200049356,USDPEN,coarse_4x6,4,6
5,VAR1,7,245,1.1583647928220475,USDPEN,coarse_4x6,4,6
5,ARHinc,7,245,1.0046242182448177,USDPEN,coarse_4x6,4,6
5,KernelARH,7,245,1.0434162008116696,USDPEN,coarse_4x6,4,6
5,VAR1,8,245,1.1530580093719256,USDPEN,coarse_4x6,4,6
5,ARHinc,8,245,1.0006491410952545,USDPEN,coarse_4x6,4,6
5,KernelARH,8,245,1.0519928391423563,USDPEN,coarse_4x6,4,6
5,VAR1,9,245,1.1527740396602897,USDPEN,coarse_4x6,4,6
5,ARHinc,9,245,1.0064392409079785,USDPEN,coarse_4x6,4,6
5,KernelARH,9,0,NA,USDPEN,coarse_4x6,4,6
5,VAR1,10,245,1.1540093090520807,USDPEN,coarse_4x6,4,6
5,ARHinc,10,245,1.0074525845689126,USDPEN,coarse_4x6,4,6
5,KernelARH,10,0,NA,USDPEN,coarse_4x6,4,6
5,VAR1,11,245,1.1578070184320253,USDPEN,coarse_4x6,4,6
5,ARHinc,11,245,1.0084780130214668,USDPEN,coarse_4x6,4,6
5,KernelARH,11,0,NA,USDPEN,coarse_4x6,4,6
5,VAR1,12,245,1.1572325944170332,USDPEN,coarse_4x6,4,6
5,ARHinc,12,245,1.0081462133100365,USDPEN,coarse_4x6,4,6
5,KernelARH,12,0,NA,USDPEN,coarse_4x6,4,6
5,VAR1,13,245,1.1572480281815463,USDPEN,coarse_4x6,4,6
5,ARHinc,13,245,1.0128147808016328,USDPEN,coarse_4x6,4,6
5,KernelARH,13,0,NA,USDPEN,coarse_4x6,4,6
5,VAR1,14,245,1.1578287458956953,USDPEN,coarse_4x6,4,6
5,ARHinc,14,245,1.012459125204356,USDPEN,coarse_4x6,4,6
5,KernelARH,14,0,NA,USDPEN,coarse_4x6,4,6
5,VAR1,15,245,1.1578633303997514,USDPEN,coarse_4x6,4,6
5,ARHinc,15,245,1.0122469163806556,USDPEN,coarse_4x6,4,6
5,KernelARH,15,0,NA,USDPEN,coarse_4x6,4,6
10,VAR1,2,245,1.0910520637895076,USDPEN,coarse_4x6,4,6
10,ARHinc,2,245,1.0442170675234252,USDPEN,coarse_4x6,4,6
10,KernelARH,2,245,1.0560525968914485,USDPEN,coarse_4x6,4,6
10,VAR1,3,245,1.1208346221658045,USDPEN,coarse_4x6,4,6
10,ARHinc,3,245,1.0416755971498364,USDPEN,coarse_4x6,4,6
10,KernelARH,3,245,1.0496296540478192,USDPEN,coarse_4x6,4,6
10,VAR1,4,245,1.1542090025578875,USDPEN,coarse_4x6,4,6
10,ARHinc,4,245,1.027789986433778,USDPEN,coarse_4x6,4,6
10,KernelARH,4,245,1.0650436370374636,USDPEN,coarse_4x6,4,6
10,VAR1,5,245,1.200562246160322,USDPEN,coarse_4x6,4,6
10,ARHinc,5,245,1.0262396537689567,USDPEN,coarse_4x6,4,6
10,KernelARH,5,245,1.0620296013263415,USDPEN,coarse_4x6,4,6
10,VAR1,6,245,1.2102537806103832,USDPEN,coarse_4x6,4,6
10,ARHinc,6,245,1.0259536773227247,USDPEN,coarse_4x6,4,6
10,KernelARH,6,245,1.067097142693282,USDPEN,coarse_4x6,4,6
10,VAR1,7,245,1.2333299615318944,USDPEN,coarse_4x6,4,6
10,ARHinc,7,245,1.026875201476674,USDPEN,coarse_4x6,4,6
10,KernelARH,7,245,1.078215181802106,USDPEN,coarse_4x6,4,6
10,VAR1,8,245,1.2009981739624283,USDPEN,coarse_4x6,4,6
10,ARHinc,8,245,1.0273098475056943,USDPEN,coarse_4x6,4,6
10,KernelARH,8,245,1.084252468886525,USDPEN,coarse_4x6,4,6
10,VAR1,9,245,1.2020091261986552,USDPEN,coarse_4x6,4,6
10,ARHinc,9,245,1.0316942191579443,USDPEN,coarse_4x6,4,6
10,KernelARH,9,0,NA,USDPEN,coarse_4x6,4,6
10,VAR1,10,245,1.2108391678248478,USDPEN,coarse_4x6,4,6
10,ARHinc,10,245,1.030648396917943,USDPEN,coarse_4x6,4,6
10,KernelARH,10,0,NA,USDPEN,coarse_4x6,4,6
10,VAR1,11,245,1.2099399499794512,USDPEN,coarse_4x6,4,6
10,ARHinc,11,245,1.0319029745251505,USDPEN,coarse_4x6,4,6
10,KernelARH,11,0,NA,USDPEN,coarse_4x6,4,6
10,VAR1,12,245,1.2148073466765317,USDPEN,coarse_4x6,4,6
10,ARHinc,12,245,1.0352304862587614,USDPEN,coarse_4x6,4,6
10,KernelARH,12,0,NA,USDPEN,coarse_4x6,4,6
10,VAR1,13,245,1.2141724696791028,USDPEN,coarse_4x6,4,6
10,ARHinc,13,245,1.034897458843252,USDPEN,coarse_4x6,4,6
10,KernelARH,13,0,NA,USDPEN,coarse_4x6,4,6
10,VAR1,14,245,1.2133268760818618,USDPEN,coarse_4x6,4,6
10,ARHinc,14,245,1.0360470937685318,USDPEN,coarse_4x6,4,6
10,KernelARH,14,0,NA,USDPEN,coarse_4x6,4,6
10,VAR1,15,245,1.2166843860145908,USDPEN,coarse_4x6,4,6
10,ARHinc,15,245,1.0479504037344225,USDPEN,coarse_4x6,4,6
10,KernelARH,15,0,NA,USDPEN,coarse_4x6,4,6
1,VAR1,2,245,0.3846245584746252,USDPEN,rich_5x10,5,10
1,ARHinc,2,245,0.3288250591695633,USDPEN,rich_5x10,5,10
1,KernelARH,2,245,0.3633653533407285,USDPEN,rich_5x10,5,10
1,VAR1,3,245,2.7449598576116854,USDPEN,rich_5x10,5,10
1,ARHinc,3,245,0.25866373563211525,USDPEN,rich_5x10,5,10
1,KernelARH,3,245,0.2922716440820913,USDPEN,rich_5x10,5,10
1,VAR1,4,245,6.211000587054941,USDPEN,rich_5x10,5,10
1,ARHinc,4,245,0.22095044969138494,USDPEN,rich_5x10,5,10
1,KernelARH,4,245,0.24622945786117176,USDPEN,rich_5x10,5,10
1,VAR1,5,245,10.423991608459854,USDPEN,rich_5x10,5,10
1,ARHinc,5,245,0.20760734038262899,USDPEN,rich_5x10,5,10
1,KernelARH,5,245,0.240585096148378,USDPEN,rich_5x10,5,10
1,VAR1,6,245,28.54178880771929,USDPEN,rich_5x10,5,10
1,ARHinc,6,245,0.18551832872049356,USDPEN,rich_5x10,5,10
1,KernelARH,6,245,0.22855992712824996,USDPEN,rich_5x10,5,10
1,VAR1,7,245,39.849920488541215,USDPEN,rich_5x10,5,10
1,ARHinc,7,245,0.1808376994258952,USDPEN,rich_5x10,5,10
1,KernelARH,7,245,0.24915712977380094,USDPEN,rich_5x10,5,10
1,VAR1,8,245,54.23378572606382,USDPEN,rich_5x10,5,10
1,ARHinc,8,245,0.18569846649555322,USDPEN,rich_5x10,5,10
1,KernelARH,8,245,0.24538720079459553,USDPEN,rich_5x10,5,10
1,VAR1,9,245,69.31982287128994,USDPEN,rich_5x10,5,10
1,ARHinc,9,245,0.18049176430720845,USDPEN,rich_5x10,5,10
1,KernelARH,9,0,NA,USDPEN,rich_5x10,5,10
1,VAR1,10,245,85.64189445906038,USDPEN,rich_5x10,5,10
1,ARHinc,10,245,0.18340493604502195,USDPEN,rich_5x10,5,10
1,KernelARH,10,0,NA,USDPEN,rich_5x10,5,10
1,VAR1,11,245,103.67097344295719,USDPEN,rich_5x10,5,10
1,ARHinc,11,245,0.1832092826002269,USDPEN,rich_5x10,5,10
1,KernelARH,11,0,NA,USDPEN,rich_5x10,5,10
1,VAR1,12,245,135.12940636884014,USDPEN,rich_5x10,5,10
1,ARHinc,12,245,0.19415230431423092,USDPEN,rich_5x10,5,10
1,KernelARH,12,0,NA,USDPEN,rich_5x10,5,10
1,VAR1,13,245,150.10417253024212,USDPEN,rich_5x10,5,10
1,ARHinc,13,245,0.2011800983572687,USDPEN,rich_5x10,5,10
1,KernelARH,13,0,NA,USDPEN,rich_5x10,5,10
1,VAR1,14,245,157.4766299753017,USDPEN,rich_5x10,5,10
1,ARHinc,14,245,0.21600895704766035,USDPEN,rich_5x10,5,10
1,KernelARH,14,0,NA,USDPEN,rich_5x10,5,10
1,VAR1,15,245,160.60248043717104,USDPEN,rich_5x10,5,10
1,ARHinc,15,245,0.22095759956751024,USDPEN,rich_5x10,5,10
1,KernelARH,15,0,NA,USDPEN,rich_5x10,5,10
5,VAR1,2,245,0.5014377298971066,USDPEN,rich_5x10,5,10
5,ARHinc,2,245,0.43219748411928444,USDPEN,rich_5x10,5,10
5,KernelARH,2,245,0.4673542457182189,USDPEN,rich_5x10,5,10
5,VAR1,3,245,4.2003821065703555,USDPEN,rich_5x10,5,10
5,ARHinc,3,245,0.38427459891103943,USDPEN,rich_5x10,5,10
5,KernelARH,3,245,0.45206410500900956,USDPEN,rich_5x10,5,10
5,VAR1,4,245,9.442499515511848,USDPEN,rich_5x10,5,10
5,ARHinc,4,245,0.37796011029484655,USDPEN,rich_5x10,5,10
5,KernelARH,4,245,0.424616935406071,USDPEN,rich_5x10,5,10
5,VAR1,5,245,15.744116391164743,USDPEN,rich_5x10,5,10
5,ARHinc,5,245,0.35346689158515093,USDPEN,rich_5x10,5,10
5,KernelARH,5,245,0.4041164192857458,USDPEN,rich_5x10,5,10
5,VAR1,6,245,24.842025527506518,USDPEN,rich_5x10,5,10
5,ARHinc,6,245,0.3442604974396206,USDPEN,rich_5x10,5,10
5,KernelARH,6,245,0.3988458293384386,USDPEN,rich_5x10,5,10
5,VAR1,7,245,36.49122897116453,USDPEN,rich_5x10,5,10
5,ARHinc,7,245,0.3310675959886264,USDPEN,rich_5x10,5,10
5,KernelARH,7,245,0.4181882813937952,USDPEN,rich_5x10,5,10
5,VAR1,8,245,51.89167262689415,USDPEN,rich_5x10,5,10
5,ARHinc,8,245,0.33932898021146757,USDPEN,rich_5x10,5,10
5,KernelARH,8,245,0.40799915768110906,USDPEN,rich_5x10,5,10
5,VAR1,9,245,52.92968749074553,USDPEN,rich_5x10,5,10
5,ARHinc,9,245,0.34513605178583695,USDPEN,rich_5x10,5,10
5,KernelARH,9,0,NA,USDPEN,rich_5x10,5,10
5,VAR1,10,245,58.579065184967945,USDPEN,rich_5x10,5,10
5,ARHinc,10,245,0.35325442501753057,USDPEN,rich_5x10,5,10
5,KernelARH,10,0,NA,USDPEN,rich_5x10,5,10
5,VAR1,11,245,60.53612312742908,USDPEN,rich_5x10,5,10
5,ARHinc,11,245,0.36247393509108833,USDPEN,rich_5x10,5,10
5,KernelARH,11,0,NA,USDPEN,rich_5x10,5,10
5,VAR1,12,245,64.47405832588083,USDPEN,rich_5x10,5,10
5,ARHinc,12,245,0.35506024449310947,USDPEN,rich_5x10,5,10
5,KernelARH,12,0,NA,USDPEN,rich_5x10,5,10
5,VAR1,13,245,73.96354963954036,USDPEN,rich_5x10,5,10
5,ARHinc,13,245,0.3543902297633389,USDPEN,rich_5x10,5,10
5,KernelARH,13,0,NA,USDPEN,rich_5x10,5,10
5,VAR1,14,245,76.78714393462013,USDPEN,rich_5x10,5,10
5,ARHinc,14,245,0.3708808383152332,USDPEN,rich_5x10,5,10
5,KernelARH,14,0,NA,USDPEN,rich_5x10,5,10
5,VAR1,15,245,82.19132627144567,USDPEN,rich_5x10,5,10
5,ARHinc,15,245,0.36763696738779905,USDPEN,rich_5x10,5,10
5,KernelARH,15,0,NA,USDPEN,rich_5x10,5,10
10,VAR1,2,245,0.5383214135680043,USDPEN,rich_5x10,5,10
10,ARHinc,2,245,0.5231296099959829,USDPEN,rich_5x10,5,10
10,KernelARH,2,245,0.550678981418173,USDPEN,rich_5x10,5,10
10,VAR1,3,245,3.513361270971553,USDPEN,rich_5x10,5,10
10,ARHinc,3,245,0.49481847474529694,USDPEN,rich_5x10,5,10
10,KernelARH,3,245,0.5415814933089435,USDPEN,rich_5x10,5,10
10,VAR1,4,245,8.578169653798394,USDPEN,rich_5x10,5,10
10,ARHinc,4,245,0.47363793647969815,USDPEN,rich_5x10,5,10
10,KernelARH,4,245,0.5340494754276126,USDPEN,rich_5x10,5,10
10,VAR1,5,245,14.252444157094459,USDPEN,rich_5x10,5,10
10,ARHinc,5,245,0.4512108213480178,USDPEN,rich_5x10,5,10
10,KernelARH,5,245,0.53540757009167,USDPEN,rich_5x10,5,10
10,VAR1,6,245,25.045085436641052,USDPEN,rich_5x10,5,10
10,ARHinc,6,245,0.4535020009138589,USDPEN,rich_5x10,5,10
10,KernelARH,6,245,0.5366387138789716,USDPEN,rich_5x10,5,10
10,VAR1,7,245,32.159509473572356,USDPEN,rich_5x10,5,10
10,ARHinc,7,245,0.45429736994251874,USDPEN,rich_5x10,5,10
10,KernelARH,7,245,0.533785584233569,USDPEN,rich_5x10,5,10
10,VAR1,8,245,48.09214987918118,USDPEN,rich_5x10,5,10
10,ARHinc,8,245,0.4439273062613672,USDPEN,rich_5x10,5,10
10,KernelARH,8,245,0.5520455872749277,USDPEN,rich_5x10,5,10
10,VAR1,9,245,47.29602443241749,USDPEN,rich_5x10,5,10
10,ARHinc,9,245,0.4459131789540442,USDPEN,rich_5x10,5,10
10,KernelARH,9,0,NA,USDPEN,rich_5x10,5,10
10,VAR1,10,245,58.59909954582333,USDPEN,rich_5x10,5,10
10,ARHinc,10,245,0.44032033608572896,USDPEN,rich_5x10,5,10
10,KernelARH,10,0,NA,USDPEN,rich_5x10,5,10
10,VAR1,11,245,57.704986135285765,USDPEN,rich_5x10,5,10
10,ARHinc,11,245,0.4412657773828021,USDPEN,rich_5x10,5,10
10,KernelARH,11,0,NA,USDPEN,rich_5x10,5,10
10,VAR1,12,245,62.43451354404537,USDPEN,rich_5x10,5,10
10,ARHinc,12,245,0.444058554012317,USDPEN,rich_5x10,5,10
10,KernelARH,12,0,NA,USDPEN,rich_5x10,5,10
10,VAR1,13,245,64.96070890490478,USDPEN,rich_5x10,5,10
10,ARHinc,13,245,0.44254145059417294,USDPEN,rich_5x10,5,10
10,KernelARH,13,0,NA,USDPEN,rich_5x10,5,10
10,VAR1,14,245,66.15314190344257,USDPEN,rich_5x10,5,10
10,ARHinc,14,245,0.4592328699639709,USDPEN,rich_5x10,5,10
